ID,Name,Age,Salary,Department,Gender,Years of Experience,Education Level,Performance Rating,Date of Hire,Job Title,Manager Name,Phone Number,Email Address,Address
1,Employee 1,21,102320.88,Engineering,Female,12,Master's,3.0,2013-03-25,Manager Engineering,Jane Smith,466-142-8011,employee1@example.com,"567 Main St, Anytown, USA"
2,Employee 2,22,46860.98,Marketing,Male,19,Bachelor's,5.0,2017-07-24,Analyst Marketing,John Doe,473-325-6205,employee2@example.com,"123 Main St, Anytown, USA"
3,Employee 3,49,62986.3,Marketing,Non-binary,20,PhD,5.0,2023-04-21,Coordinator Marketing,Emily Williams,432-646-9744,employee3@example.com,"234 Main St, Anytown, USA"
4,Employee 4,49,106329.63,HR,Male,5,PhD,5.0,2011-10-07,Manager HR,Emily Williams,215-316-3231,employee4@example.com,"234 Main St, Anytown, USA"
5,Employee 5,42,105584.36,Marketing,Female,28,Bachelor's,3.5,2020-03-08,Manager Marketing,David Brown,384-672-7613,employee5@example.com,"567 Main St, Anytown, USA"
6,Employee 6,57,49123.72,Finance,Non-binary,30,PhD,3.0,2017-04-11,Analyst Finance,Bob Johnson,850-577-2760,employee6@example.com,"890 Main St, Anytown, USA"
7,Employee 7,35,99556.23,Marketing,Non-binary,18,High School,3.0,2016-03-04,Assistant Marketing,Emily Williams,738-555-6789,employee7@example.com,"456 Main St, Anytown, USA"
8,Employee 8,51,73642.74,HR,Non-binary,3,Associate's,4.5,2023-05-02,Analyst HR,David Brown,369-885-9863,employee8@example.com,"789 Main St, Anytown, USA"
9,Employee 9,62,108829.62,HR,Non-binary,20,Master's,3.5,2022-10-04,Assistant HR,David Brown,463-498-2653,employee9@example.com,"234 Main St, Anytown, USA"
10,Employee 10,21,101173.91,Marketing,Male,30,Master's,3.0,2020-10-19,Analyst Marketing,Bob Johnson,965-999-7342,employee10@example.com,"101 Main St, Anytown, USA"
11,Employee 11,21,109404.14,Sales,Non-binary,8,Bachelor's,4.5,2023-07-18,Director Sales,John Doe,627-396-6534,employee11@example.com,"456 Main St, Anytown, USA"
12,Employee 12,51,100088.02,Engineering,Male,1,High School,3.5,2016-03-17,Director Engineering,Emily Williams,776-393-4371,employee12@example.com,"678 Main St, Anytown, USA"
13,Employee 13,59,94162.37,Engineering,Non-binary,12,PhD,4.5,2020-11-17,Manager Engineering,David Brown,479-668-8898,employee13@example.com,"123 Main St, Anytown, USA"
14,Employee 14,52,102805.82,Sales,Male,14,Associate's,4.5,2013-07-03,Engineer Sales,Jane Smith,461-830-7816,employee14@example.com,"456 Main St, Anytown, USA"
15,Employee 15,62,51523.14,Sales,Female,19,Associate's,4.5,2010-12-06,Analyst Sales,Bob Johnson,487-507-5268,employee15@example.com,"1234 Main St, Anytown, USA"
16,Employee 16,27,77752.92,Finance,Female,11,Bachelor's,4.0,2020-07-16,Coordinator Finance,David Brown,144-745-3880,employee16@example.com,"1234 Main St, Anytown, USA"
17,Employee 17,56,51963.85,Sales,Male,22,Bachelor's,4.0,2020-01-24,Manager Sales,Emily Williams,512-959-2602,employee17@example.com,"1234 Main St, Anytown, USA"
18,Employee 18,37,101249.69,Finance,Male,9,Master's,5.0,2011-03-15,Assistant Finance,Emily Williams,580-764-3473,employee18@example.com,"234 Main St, Anytown, USA"
19,Employee 19,46,71275.04,Sales,Non-binary,30,PhD,3.5,2014-07-06,Analyst Sales,Emily Williams,561-860-3246,employee19@example.com,"1234 Main St, Anytown, USA"
20,Employee 20,46,52878.42,Finance,Male,18,Master's,5.0,2020-07-08,Assistant Finance,Jane Smith,932-459-4693,employee20@example.com,"567 Main St, Anytown, USA"
21,Employee 21,57,89177.57,Finance,Non-binary,9,Master's,3.0,2012-06-02,Manager Finance,David Brown,597-805-6546,employee21@example.com,"456 Main St, Anytown, USA"
22,Employee 22,60,78165.8,Finance,Non-binary,22,Bachelor's,4.5,2013-02-05,Manager Finance,Emily Williams,676-707-3087,employee22@example.com,"901 Main St, Anytown, USA"
